frente,partido,total
Frente Parlamentar Mista da Educação,UNIÃO,58
Frente Parlamentar Mista da Educação,PT,34
Frente Parlamentar Mista da Educação,REPUBLIC,26
Frente Parlamentar Mista da Educação,PSB,24
Frente Parlamentar Mista da Educação,PSD,23
Frente Parlamentar Mista da Educação,PSDB,19
Frente Parlamentar Mista da Educação,PP,15
Frente Parlamentar Mista da Educação,PDT,12
Frente Parlamentar Mista da Educação,PMDB,9
Frente Parlamentar Mista da Educação,PTB,9
Frente Parlamentar Mista da Educação,SOLIDARI,8
Frente Parlamentar Mista da Educação,PSOL,8
Frente Parlamentar Mista da Educação,PV,8
Frente Parlamentar Mista da Educação,PR,8
Frente Parlamentar Mista da Educação,PCdoB,6
Frente Parlamentar Mista da Educação,NOVO,6
Frente Parlamentar Mista da Educação,REDE,4
Frente Parlamentar Mista da Educação,PSC,4
Frente Parlamentar Mista da Educação,MDB,4
Frente Parlamentar Mista da Educação,PSL,3
Frente Parlamentar Mista da Educação,PPS,3
Frente Parlamentar Mista da Educação,AVANTE,3
Frente Parlamentar Mista da Educação,SOLIDARIED,3
Frente Parlamentar Mista da Educação,S.PART.,3
Frente Parlamentar Mista da Educação,PRD,2
Frente Parlamentar Mista da Educação,PROS,2
Frente Parlamentar Mista da Educação,SD,2
Frente Parlamentar Mista da Educação,PRB,2
Frente Parlamentar Mista da Educação,PRP,1
Frente Parlamentar Mista da Educação,UDN,1
Frente Parlamentar Mista da Educação,PP**,1
Frente Parlamentar Mista da Educação,PPB,1
Frente Parlamentar Mista da Educação,SDD,1
Frente Parlamentar Mista da Educação,PTdoB,1
Frente Parlamentar Mista da Educação,PPR,1
Frente Parlamentar Mista da Educação,PST,1
Frente Parlamentar Mista da Micro e Pequena Empresa,PT,47
Frente Parlamentar Mista da Micro e Pequena Empresa,PSDB,33
Frente Parlamentar Mista da Micro e Pequena Empresa,PSD,30
Frente Parlamentar Mista da Micro e Pequena Empresa,PMDB,23
Frente Parlamentar Mista da Micro e Pequena Empresa,UNIÃO,20
Frente Parlamentar Mista da Micro e Pequena Empresa,PTB,17
Frente Parlamentar Mista da Micro e Pequena Empresa,PR,14
Frente Parlamentar Mista da Micro e Pequena Empresa,PSB,12
Frente Parlamentar Mista da Micro e Pequena Empresa,PP,12
Frente Parlamentar Mista da Micro e Pequena Empresa,PDT,10
Frente Parlamentar Mista da Micro e Pequena Empresa,REPUBLIC,9
Frente Parlamentar Mista da Micro e Pequena Empresa,PV,9
Frente Parlamentar Mista da Micro e Pequena Empresa,PCdoB,7
Frente Parlamentar Mista da Micro e Pequena Empresa,PPB,6
Frente Parlamentar Mista da Micro e Pequena Empresa,SD,6
Frente Parlamentar Mista da Micro e Pequena Empresa,PP**,5
