familias	n_familias	ocorrencias	origens
demografia_censo+trabalho_empresa	2	24	P01-2,P01-3,P01-5,P04-3,P04-4,P04-5,P09-3,P09-5
compras_publicas+fiscal_municipal	2	11	P16-4,P21-1,P21-4,P21-5,P25-1,P25-3,P25-5,P40-3
sancao_integridade+trabalho_empresa	2	10	P37-4,P45-1,P45-4,P45-5,P47-4,P48-2,P48-3,P48-4
credito_financeiro+trabalho_empresa	2	9	P19-2,P52-1,P57-1,P57-4,P67-1,P67-2,P75-1,P75-5
demografia_censo+transferencia_renda	2	9	P31-1,P31-2,P64-3,P64-4,P65-2,P65-3,P70-5,HH08
politica+trabalho_empresa	2	7	P05-1,P05-2,P13-3,P15-3,P50-1,P50-2,P54-5
fiscal_municipal+trabalho_empresa	2	7	P16-2,P30-5,P40-4,P52-3,P53-1,P53-5,AG7
compras_publicas+sancao_integridade	2	7	P37-2,P37-5,P62-4,P63-4,P68-5,AD6,AF1
mineracao_energia+trabalho_empresa	2	6	P58-4,P58-5,P61-5,H?,A?,AC15
demografia_censo+politica	2	5	P05-4,P15-1,P27-1,P27-3,P27-4
credito_financeiro+demografia_censo+trabalho_empresa	3	5	P07-2,P07-4,P19-5,P57-5,P75-2
demografia_censo+politica+trabalho_empresa	3	5	P13-1,P13-5,P29-1,P29-5,P74-2
demografia_censo+trabalho_empresa+transferencia_renda	3	5	P31-4,P64-2,P65-1,P70-2,AB11
demografia_censo+mortalidade+trabalho_empresa	3	4	P01-1,P01-4,P06-3,P12-4
educacao+trabalho_empresa	2	4	P02-2,P02-3,P38-3,P46-1
compras_publicas+politica+trabalho_empresa	3	4	P05-3,P05-5,P15-2,P15-4
credito_financeiro+desmatamento_clima+fundiario	3	4	P07-5,P75-4,P77-4,AC1
demografia_censo+fiscal_municipal+transferencia_renda	3	4	P08-1,P08-2,P08-3,P08-5
desmatamento_clima+trabalho_empresa	2	4	P10-1,P10-5,P22-3,AC11
compras_publicas+demografia_censo+politica	3	4	P15-5,P25-4,P29-3,P62-3
comercio_exterior+trabalho_empresa	2	4	P18-1,P18-3,P30-3,P30-4
saude_producao+trabalho_empresa	2	4	P24-1,P24-4,P49-2,AG1
desmatamento_clima+fiscalizacao_ambiental	2	4	P42-3,P59-1,P59-5,A?
mortalidade+natalidade+saude_producao	3	3	P03-2,P03-4,P49-3
conectividade+educacao+trabalho_empresa	3	3	P11-3,P32-1,P32-5
demografia_censo+precos_indices	2	3	P14-2,P14-3,P55-4
demografia_censo+fiscal_municipal+trabalho_empresa	3	3	P16-1,P16-5,P53-3
agropecuaria+credito_financeiro+fundiario	3	3	P17-1,P17-2,P17-4
ciencia_tecnologia+educacao+trabalho_empresa	3	3	P20-1,P20-5,P46-3
compras_publicas+trabalho_empresa	2	3	P21-2,P51-4,AD13
demografia_censo+saude_producao	2	3	P24-3,P41-3,P41-5
administracao+demografia_censo+trabalho_empresa	3	3	P26-1,P26-3,P26-5
administracao+trabalho_empresa	2	3	P26-2,P47-1,P73-4
demografia_censo+seguranca+trabalho_empresa	3	3	P33-2,P33-5,P50-5
demografia_censo+mobilidade+trabalho_empresa	3	3	P35-1,P35-2,P35-4
demografia_censo+mineracao_energia+trabalho_empresa	3	3	P51-1,P51-5,P61-1
mortalidade+vigilancia_sinan	2	3	P56-1,P56-3,P56-4
credito_financeiro+trabalho_empresa+transferencia_renda	3	3	P57-3,P69-3,AB9
credito_financeiro+transferencia_renda	2	3	P65-4,HH14,A?
demografia_censo+mortalidade+seguranca	3	2	P06-1,P06-2
mortalidade+seguranca+trabalho_empresa	3	2	P06-4,P06-5
credito_financeiro+fundiario+trabalho_empresa	3	2	P07-3,P17-5
agropecuaria+desmatamento_clima+fundiario	3	2	P10-2,P10-4
conectividade+trabalho_empresa	2	2	P11-5,P32-3
demografia_censo+precos_indices+trabalho_empresa	3	2	P14-1,P14-5
precos_indices+trabalho_empresa	2	2	P14-4,AC9
ciencia_tecnologia+demografia_censo+trabalho_empresa	3	2	P20-2,P20-4
mortalidade+saude_producao	2	2	P23-4,P24-5
demografia_censo+seguranca	2	2	P33-1,P33-4
compras_publicas+sancao_integridade+trabalho_empresa	3	2	P37-1,P63-3
desmatamento_clima+saneamento_agua	2	2	P42-1,P42-4
cultura_consumo+demografia_censo	2	2	P43-1,P43-3
cultura_consumo+trabalho_empresa	2	2	P43-5,HH30
desmatamento_clima+fundiario	2	2	P44-3,P60-4
credito_financeiro+sancao_integridade	2	2	P45-2,P52-2
demografia_censo+vigilancia_sinan	2	2	P56-2,P71-1
compras_publicas+fiscal_municipal+sancao_integridade	3	2	P62-2,AE3
conectividade+credito_financeiro+trabalho_empresa	3	2	P66-1,AB10
credito_financeiro+demografia_censo	2	2	P66-4,P67-4
conectividade+demografia_censo	2	2	P70-4,AB2
compras_publicas+politica	2	2	P74-1,P74-3
educacao+natalidade+trabalho_empresa	3	2	P77-4,P77-5
fiscal_municipal+mineracao_energia+trabalho_empresa	3	2	P77-5,HH45
fiscal_municipal+sancao_integridade	2	2	HH03,HH36
credito_financeiro+cultura_consumo	2	2	HH10,AF2
demografia_censo+educacao	2	1	P02-5
natalidade+saude_producao+transferencia_renda	3	1	P03-1
mortalidade+natalidade+trabalho_empresa+transferencia_renda	4	1	P03-3
demografia_censo+natalidade+transferencia_renda	3	1	P03-5
mortalidade+trabalho_empresa	2	1	P04-1
agropecuaria+credito_financeiro+trabalho_empresa	3	1	P07-1
demografia_censo+fiscal_municipal+mortalidade	3	1	P08-4
demografia_censo+trabalho_empresa+vigilancia_sinan	3	1	P09-1
demografia_censo+natalidade+saude_producao	3	1	P09-2
mortalidade+saude_producao+trabalho_empresa	3	1	P09-4
conectividade+fiscal_municipal+saneamento_agua	3	1	P11-1
demografia_censo+fiscal_municipal+saneamento_agua	3	1	P11-2
saneamento_agua+trabalho_empresa	2	1	P11-4
natalidade+saude_producao+trabalho_empresa	3	1	P12-2
agropecuaria+fiscal_municipal+trabalho_empresa	3	1	P16-3
agropecuaria+comercio_exterior+desmatamento_clima	3	1	P17-3
comercio_exterior+fundiario+trabalho_empresa	3	1	P18-2
agropecuaria+comercio_exterior+fundiario	3	1	P18-4
comercio_exterior+demografia_censo+trabalho_empresa	3	1	P18-5
ciencia_tecnologia+conectividade+credito_financeiro	3	1	P19-1
ciencia_tecnologia+credito_financeiro+trabalho_empresa	3	1	P19-3
agropecuaria+credito_financeiro	2	1	P19-4
ciencia_tecnologia+educacao	2	1	P20-3
compras_publicas+fiscal_municipal+trabalho_empresa	3	1	P21-3
demografia_censo+desmatamento_clima+mortalidade	3	1	P22-2
saude_producao+vigilancia_sinan	2	1	P23-1
mortalidade+saude_producao+vigilancia_sinan	3	1	P23-2
demografia_censo+mortalidade+vigilancia_sinan	3	1	P23-3
natalidade+saude_producao+vigilancia_sinan	3	1	P23-5
credito_financeiro+fiscal_municipal+transferencia_renda	3	1	P25-2
administracao+demografia_censo+fiscal_municipal	3	1	P26-4
politica+saude_producao+trabalho_empresa	3	1	P27-2
mortalidade+politica+saude_producao	3	1	P27-5
educacao+vigilancia_sinan	2	1	P28-1
demografia_censo+educacao+mortalidade	3	1	P28-2
educacao+mortalidade	2	1	P28-3
educacao+seguranca+vigilancia_sinan	3	1	P28-4
demografia_censo+educacao+vigilancia_sinan	3	1	P28-5
demografia_censo+mortalidade+natalidade	3	1	P31-3
conectividade+educacao	2	1	P32-2
conectividade+demografia_censo+educacao	3	1	P32-4
educacao+seguranca+trabalho_empresa	3	1	P33-3
demografia_censo+mobilidade+mortalidade	3	1	P35-3
fiscal_municipal+sancao_integridade+trabalho_empresa	3	1	P37-3
demografia_censo+educacao+politica	3	1	P38-5
demografia_censo+justica+trabalho_empresa	3	1	P39-1
justica+sancao_integridade	2	1	P39-2
demografia_censo+justica	2	1	P39-3
fiscal_municipal+justica	2	1	P39-5
compras_publicas+demografia_censo+fiscal_municipal	3	1	P40-1
desmatamento_clima+mortalidade+saneamento_agua	3	1	P42-5
cultura_consumo+demografia_censo+trabalho_empresa	3	1	P43-2
cultura_consumo+politica+trabalho_empresa	3	1	P43-4
demografia_censo+mortalidade+saneamento_agua	3	1	P44-1
agropecuaria+desmatamento_clima	2	1	P44-2
agropecuaria+saneamento_agua+trabalho_empresa	3	1	P44-5
administracao+demografia_censo	2	1	P47-2
mortalidade+natalidade+saude_producao+trabalho_empresa	4	1	P49-1
demografia_censo+saude_producao+trabalho_empresa	3	1	P49-5
demografia_censo+politica+seguranca	3	1	P50-3
justica+politica	2	1	P50-4
mineracao_energia+mobilidade+trabalho_empresa	3	1	P51-2
compras_publicas+demografia_censo+trabalho_empresa	3	1	P51-3
credito_financeiro+precos_indices	2	1	P52-4
conectividade+credito_financeiro+demografia_censo	3	1	P57-2
mineracao_energia+trabalho_empresa+transferencia_renda	3	1	P58-1
demografia_censo+mineracao_energia+mortalidade	3	1	P58-2
compras_publicas+fiscal_municipal+mineracao_energia	3	1	P58-3
desmatamento_clima+fiscalizacao_ambiental+fundiario+mineracao_energia	4	1	P59-2
desmatamento_clima+fiscalizacao_ambiental+trabalho_empresa	3	1	P59-3
credito_financeiro+desmatamento_clima+trabalho_empresa	3	1	P60-3
demografia_censo+mineracao_energia+transferencia_renda	3	1	P61-2
credito_financeiro+mineracao_energia	2	1	P61-3
conectividade+desmatamento_clima+mineracao_energia	3	1	P61-4
demografia_censo+sancao_integridade+trabalho_empresa	3	1	P63-1
